featureName	index	alleleOne	alleleTwo
gene001	0	197	95
gene001	0	176	116
gene001	0	196	96
gene001	0	187	105
gene002	0	154	153
gene002	0	148	159
gene003	0	145	163
gene003	0	134	174
gene003	0	129	179
gene004	0	181	94
gene004	0	179	96
gene004	0	172	103
gene004	0	196	79
gene004	0	199	76
gene005	0	101	202
gene005	0	100	203
gene005	0	95	208
gene006	0	166	111
gene006	0	158	119
gene007	0	141	137
gene007	0	141	137
gene007	0	144	134
gene007	0	131	147
gene007	0	138	140
gene008	0	143	165
gene008	0	164	144
gene008	0	160	148
gene008	0	173	135
gene009	0	147	141
gene009	0	152	136
gene010	0	131	151
gene010	0	157	125
gene010	0	131	151
gene010	0	129	153
gene011	0	115	192
gene012	0	167	143
gene012	0	163	147
gene012	0	155	155
gene012	0	163	147
gene013	0	168	137
gene013	0	158	147
gene013	0	150	155
gene013	0	161	144
gene014	0	151	160
gene014	0	176	135
gene014	0	220	91
gene014	0	195	116
gene014	0	207	104
gene015	0	121	125
gene015	0	122	124
gene016	0	36	256
gene016	0	65	227
gene016	0	11	281
gene016	0	48	244
gene016	0	29	263
gene017	0	166	142
gene017	0	176	132
gene018	0	179	145
gene018	0	221	103
gene019	0	104	200
gene019	0	103	201
gene019	0	84	220
gene020	0	143	156
gene020	0	152	147
gene020	0	158	141
gene020	0	154	145
gene020	0	150	149
gene021	0	101	210
gene021	0	284	27
gene021	0	224	87
gene021	0	294	17
gene021	0	264	47
gene022	0	145	157
gene023	0	180	115
gene023	0	170	125
gene024	0	134	173
gene024	0	165	142
gene025	0	162	157
gene025	0	160	159
gene025	0	150	169
gene025	0	171	148
gene026	0	131	170
gene026	0	151	150
gene026	0	136	165
gene027	0	237	74
gene027	0	166	145
gene027	0	132	179
gene028	0	147	171
gene028	0	151	167
gene028	0	167	151
gene029	0	134	154
gene029	0	139	149
gene030	0	135	173
gene030	0	47	261
gene030	0	123	185
gene031	0	256	44
gene032	0	154	120
gene032	0	143	131
gene032	0	144	130
gene032	0	139	135
gene033	0	149	172
gene034	0	146	154
gene034	0	150	150
gene034	0	140	160
gene034	0	155	145
gene035	0	139	188
gene035	0	153	174
gene036	0	248	31
gene036	0	234	45
gene037	0	165	170
gene037	0	168	167
gene037	0	183	152
gene037	0	177	158
gene038	0	98	235
gene038	0	126	207
gene038	0	120	213
gene038	0	105	228
gene039	0	134	168
gene039	0	150	152
gene040	0	145	162
gene041	0	125	149
gene041	0	208	66
gene041	0	79	195
gene041	0	186	88
gene042	0	141	142
gene043	0	71	224
gene043	0	13	282
gene043	0	84	211
gene043	0	78	217
gene044	0	146	151
gene044	0	144	153
gene044	0	141	156
gene044	0	138	159
gene045	0	241	70
gene045	0	261	50
gene045	0	216	95
gene046	0	198	69
gene046	0	150	117
gene046	0	159	108
gene046	0	162	105
gene047	0	224	64
gene047	0	232	56
gene047	0	232	56
gene047	0	220	68
gene048	0	156	139
gene048	0	134	161
gene049	0	143	164
gene049	0	158	149
gene049	0	167	140
gene050	0	212	91
